Achitecture,Base Clock,Base Power,Gen,IGPU Frequency,Launch Date,Link,Max Boost Clock,Max Power,Memory Channels,Memory Type,Name,Series,Total Cache,Total Cores,Total Threads
14,0.9,25,7,1000,Q1'21,https://www.intel.com/content/www/us/en/products/sku/212251/intel-core-i711700t-processor-16m-cache-up-to-4-60-ghz/specifications.html,4.6,35,,4,i7-11700T,11th Generation Intel® Core™ i7 Processors,16,8,16.0
7,5.4,45,9,1000,Q1'23,https://www.intel.com/content/www/us/en/products/sku/232172/intel-core-i913905h-processor-24m-cache-up-to-5-40-ghz/specifications.html,5.4,115,,5,i9-13905H,13th Generation Intel® Core™ i9 Processors,24,14,20.0
14,4.0,0,3,1000,Q4'17,https://www.intel.com/content/www/us/en/products/sku/126689/intel-core-i38350k-processor-8m-cache-4-00-ghz/specifications.html,4.0,0,,4,i3-8350K,8th Generation Intel® Core™ i3 Processors,8,4,4.0
22,2.2,0,7,1000,Q2'13,https://www.intel.com/content/www/us/en/products/sku/75119/intel-core-i74702mq-processor-6m-cache-up-to-3-20-ghz/specifications.html,3.2,0,,3,i7-4702MQ,4th Generation Intel® Core™ i7 Processors,6,4,8.0
14,3.1,0,3,1000,Q2'19,https://www.intel.com/content/www/us/en/products/sku/194374/intel-core-i39100e-processor-6m-cache-up-to-3-70-ghz/specifications.html,3.7,0,,4,i3-9100E,9th Generation Intel® Core™ i3 Processors,6,4,4.0
7,5.0,45,7,1000,Q2'24,https://www.intel.com/content/www/us/en/products/sku/239937/intel-core-7-processor-150hl-24m-cache-up-to-5-00-ghz/specifications.html,5.0,115,,5,150HL,Intel® Core™ processors (Series 1),24,14,20.0
14,3.1,0,7,1000,Q1'18,https://www.intel.com/content/www/us/en/products/sku/130407/intel-core-i78709g-processor-with-radeon-rx-vega-m-gh-graphics-8m-cache-up-to-4-10-ghz/specifications.html,4.1,0,,4,i7-8709G,8th Generation Intel® Core™ i7 Processors,8,4,8.0
14,3.6,0,9,0,Q1'19,https://www.intel.com/content/www/us/en/products/sku/190887/intel-core-i99900kf-processor-16m-cache-up-to-5-00-ghz/specifications.html,5.0,0,,4,i9-9900KF,9th Generation Intel® Core™ i9 Processors,16,8,16.0
14,3.1,0,5,1000,Q2'19,https://www.intel.com/content/www/us/en/products/sku/134900/intel-core-i59600-processor-9m-cache-up-to-4-60-ghz/specifications.html,4.6,0,,4,i5-9600,9th Generation Intel® Core™ i5 Processors,9,6,6.0
14,2.2,0,5,950,Q3'15,https://www.intel.com/content/www/us/en/products/sku/88187/intel-core-i56400t-processor-6m-cache-up-to-2-80-ghz/specifications.html,2.8,0,,4,i5-6400T,6th Generation Intel® Core™ i5 Processors,6,4,4.0
7,5.0,45,9,1000,Q1'22,https://www.intel.com/content/www/us/en/products/sku/132214/intel-core-i912900h-processor-24m-cache-up-to-5-00-ghz/specifications.html,5.0,115,,5,i9-12900H,12th Generation Intel® Core™ i9 Processors,24,14,20.0
14,2.4,0,9,1000,Q2'20,https://www.intel.com/content/www/us/en/products/sku/201838/intel-core-i910980hk-processor-16m-cache-up-to-5-30-ghz/specifications.html,5.3,0,,4,i9-10980HK,10th Generation Intel® Core™ i9 Processors,16,8,16.0
7,4.4,9,5,850,Q1'22,https://www.intel.com/content/www/us/en/products/sku/226453/intel-core-i51230u-processor-12m-cache-up-to-4-40-ghz/specifications.html,4.4,29,,5,i5-1230U,12th Generation Intel® Core™ i5 Processors,12,10,12.0
14,2.7,0,3,1000,Q4'15,https://www.intel.com/content/www/us/en/products/sku/88181/intel-core-i36100te-processor-4m-cache-2-70-ghz/specifications.html,2.7,0,,4,i3-6100TE,6th Generation Intel® Core™ i3 Processors,4,2,4.0
7,1.3,35,5,1000,Q1'23,https://www.intel.com/content/www/us/en/products/sku/230573/intel-core-i513600t-processor-24m-cache-up-to-4-80-ghz/specifications.html,4.8,92,,5,i5-13600T,13th Generation Intel® Core™ i5 Processors,24,14,20.0
14,4.0,0,3,1000,Q1'17,https://www.intel.com/content/www/us/en/products/sku/97458/intel-core-i37300-processor-4m-cache-4-00-ghz/specifications.html,4.0,0,,4,i3-7300,7th Generation Intel® Core™ i3 Processors,4,2,4.0
