Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,CPU Intel,Base Power,Max Power,CPU Gen,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,GPU Onboard,GPU AMD,GPU NVIDIA,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
31990000,i7-1360P,7,12.0,16.0,18,5.0,5.0,1,28,64,7,16,5,5.0,256,1,,0.0,1,0,0,1,17.0,60,11,12.0,2560,1600
17990000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,,0.0,1,0,0,0,15.0,120,11,12.0,1920,1080
43990000,i7-13620H,7,10.0,16.0,24,4.9,4.9,1,45,115,7,48,4,5.0,512,1,,0.0,1,0,0,1,16.0,240,11,24.0,2560,1600
43990000,i7-12700H,7,14.0,20.0,24,4.7,4.7,1,45,115,7,64,4,5.0,1024,1,3060,12.0,0,0,1,0,17.0,360,11,24.0,1920,1080
69990000,i9-13900H,7,14.0,20.0,24,5.4,5.4,1,45,115,9,64,5,5.0,2048,1,4070,12.0,0,0,1,0,16.0,60,11,24.0,3840,2400
19990000,i5-12450H,7,8.0,12.0,12,4.4,4.4,1,45,95,5,32,4,5.0,512,1,,0.0,1,0,0,1,15.0,144,11,12.0,1920,1080
23990000,i7-13620H,7,10.0,16.0,24,4.9,4.9,1,45,115,7,16,5,5.0,512,1,,0.0,1,0,0,0,15.0,144,10,24.0,1920,1080
22990000,i5-1135G7,10,4.0,8.0,8,0.9,4.2,1,12,28,5,128,4,4.0,128,1,,0.0,1,0,0,0,12.0,60,10,12.0,1920,1080
18190000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
26590000,i7-13700,7,16.0,24.0,30,1.5,5.1,1,65,219,7,16,5,5.0,512,1,,0.0,1,0,0,0,14.0,90,11,12.0,2880,1800
15190000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,24.0,1920,1080
15790000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,12.0,1920,1200
23690000,i5-12500H,7,12.0,16.0,18,4.5,4.5,1,45,95,5,64,4,5.0,512,1,,0.0,1,0,0,1,15.0,144,11,24.0,1920,1080
46990000,155H,7,16.0,22.0,24,0.9,4.8,1,28,115,7,16,5,5.0,1024,1,,0.0,1,0,0,1,17.0,60,11,12.0,2560,1600
54990000,i7-9750H,14,6.0,12.0,12,2.6,4.5,1,35,45,7,32,4,4.0,6144,1,,0.0,1,0,0,1,17.0,60,10,24.0,1920,1200
67490000,i7-1365U,7,10.0,12.0,12,5.2,5.2,1,15,55,7,16,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,10,36.0,2560,1600
101990000,i9-12900,7,16.0,24.0,30,1.8,5.0,1,65,202,9,32,5,5.0,2048,1,3080 Ti,12.0,0,0,1,0,16.0,240,11,12.0,2560,1600
12990000,i3-1315U,7,6.0,8.0,10,4.5,4.5,1,15,55,3,8,4,5.0,256,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
21890000,i5-13500H,7,12.0,16.0,18,4.7,4.7,1,45,95,5,64,5,5.0,2048,1,,0.0,1,0,0,1,16.0,60,11,24.0,1920,1200
