Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU VRAM,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
89990000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,2048,1,24.0,3,16.0,240,11,36.0,2560,1600
26769000,i7-10750H,14,6.0,12.0,2.6,5.0,8,4,4.0,512,1,0.0,3,15.6,144,10,12.0,1920,1080
27799000,i7-13620H,7,10.0,16.0,4.9,4.9,16,5,4.0,512,1,8.0,3,16.0,165,11,24.0,1920,1200
34999000,165H,7,16.0,22.0,0.9,5.0,32,5,4.0,512,1,8.0,3,16.0,165,11,36.0,2560,1600
21999000,i5-13500,7,14.0,20.0,1.8,4.8,64,4,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
78799000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,2048,1,16.0,3,16.0,250,11,12.0,2560,1600
20999000,Ryzen 5 6600H,6,6.0,12.0,3.3,4.5,32,5,5.0,512,1,0.0,3,15.6,120,11,12.0,1920,1080
126999000,i9-13900,7,24.0,32.0,1.5,5.2,32,5,4.0,2048,1,16.0,2,18.0,240,11,12.0,2560,1600
24799000,i5-13500,7,14.0,20.0,1.8,4.8,64,5,4.0,512,1,8.0,3,15.6,144,11,24.0,1920,1080
49989000,i7-8750H,14,6.0,12.0,1.7,4.1,16,4,4.0,256,1,0.0,3,15.6,60,10,12.0,1920,1080
51999000,i7-13700,7,16.0,24.0,1.5,5.1,64,5,4.0,1024,1,8.0,3,14.0,240,11,12.0,2560,1600
149990000,i9-14900,7,24.0,32.0,1.5,5.4,128,5,4.0,128,1,24.0,3,18.0,120,11,36.0,3840,2400
80299000,i7-10875H,14,8.0,16.0,2.3,5.1,32,4,4.0,1024,1,12.0,3,15.6,60,10,12.0,3840,2160
117999000,i9-14900,7,24.0,32.0,1.5,5.4,64,5,4.0,2048,1,24.0,3,18.0,240,11,24.0,2560,1600
92990000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,2048,1,16.0,3,18.0,120,11,36.0,3840,2400
19599000,i5-12450H,7,8.0,12.0,4.4,4.4,64,4,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
22490000,i7-12650H,7,10.0,16.0,4.7,4.7,64,5,4.0,512,1,0.0,3,15.6,144,11,12.0,1920,1080
38999000,165H,7,16.0,22.0,0.9,5.0,32,5,4.0,512,1,8.0,3,16.0,165,11,12.0,2560,1600
53499000,i9-14900,7,24.0,32.0,1.5,5.4,32,5,4.0,1024,1,12.0,3,16.0,240,10,24.0,2560,1600
21999000,i5-13500,7,14.0,20.0,1.8,4.8,64,5,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
124999000,i9-13980HX,7,24.0,32.0,5.6,5.6,64,5,4.0,2048,1,24.0,3,16.0,165,11,36.0,3200,2000
64990000,185H,7,16.0,22.0,1.8,5.1,32,5,4.0,2048,1,12.0,3,16.0,240,11,36.0,2560,1600
135099000,i9-12900HX,7,16.0,24.0,5.0,5.0,128,5,4.0,128,1,12.0,3,17.3,120,11,24.0,3840,2160
25499000,i5-13500,7,14.0,20.0,1.8,4.8,64,5,4.0,512,1,8.0,3,15.6,144,11,24.0,1920,1080
26999000,i7-13620H,7,10.0,16.0,4.9,4.9,32,5,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
39990000,Ryzen 7 8845HS,4,8.0,16.0,3.8,5.1,64,5,5.0,1024,1,12.0,3,15.0,144,11,24.0,1920,1080
77990000,i9-13900,7,24.0,32.0,1.5,5.2,64,5,4.0,2048,1,12.0,1,16.0,60,11,24.0,3840,2400
79990000,Ryzen 7 8845HS,4,8.0,16.0,3.8,5.1,64,5,5.0,2048,1,12.0,3,15.0,144,10,24.0,1920,1080
84990000,i9-13950HX,7,24.0,32.0,5.5,5.5,64,5,4.0,2048,1,12.0,3,16.0,120,11,24.0,2560,1600
28999000,i7-13700,7,16.0,24.0,1.5,5.1,16,5,4.0,512,1,0.0,3,16.0,144,11,12.0,1920,1080
23999000,i7-13620H,7,10.0,16.0,4.9,4.9,64,5,4.0,512,1,0.0,3,15.6,144,11,24.0,1920,1080
45999000,i7-13700,7,16.0,24.0,1.5,5.1,64,5,4.0,1024,1,8.0,3,17.3,144,11,12.0,1980,1080
