Price,CPU Achitecture,CPU Core,CPU Thread,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU VRAM,Display Type,Display Size,Display Resolution,Display Frequency,OS
149990000,7,24.0,32.0,5.6,5.6,128,5,5.0,4096,1,24.0,3,17.3,8294400,144,11
149990000,7,24.0,32.0,1.5,5.4,128,5,5.0,128,1,24.0,3,18.0,9216000,120,11
99999000,7,24.0,32.0,1.5,5.4,64,5,5.0,2048,1,16.0,3,16.0,4096000,240,11
49990000,7,16.0,22.0,0.9,4.8,32,5,5.0,1024,1,8.0,3,14.0,5184000,120,11
52019000,14,6.0,12.0,2.6,5.0,16,4,4.0,1024,1,0.0,3,14.0,2073600,60,10
58999000,7,16.0,24.0,1.8,5.0,32,5,5.0,512,1,12.0,1,16.0,9216000,60,11
26769000,14,6.0,12.0,2.6,5.0,8,4,4.0,512,1,0.0,3,15.6,2073600,144,10
64990000,7,16.0,22.0,1.8,5.1,32,5,5.0,2048,1,12.0,3,16.0,4096000,240,11
68990000,7,16.0,24.0,1.8,5.0,64,4,5.0,2048,1,8.0,3,17.0,3686400,165,11
135099000,7,16.0,24.0,1.8,5.0,128,5,5.0,128,1,12.0,3,17.3,8294400,120,11
93999000,7,16.0,22.0,1.8,5.1,32,5,5.0,2048,1,16.0,3,18.0,9216000,120,11
49989000,14,6.0,12.0,1.7,4.1,16,4,4.0,256,1,0.0,3,15.6,2073600,60,10
16499000,7,8.0,12.0,4.6,4.6,32,4,5.0,512,1,0.0,3,15.6,2073600,60,11
38999000,7,16.0,22.0,0.9,5.0,32,5,5.0,512,1,8.0,3,16.0,4096000,165,11
29799000,7,10.0,16.0,4.9,4.9,32,5,5.0,512,1,8.0,3,15.6,2073600,144,11
117999000,7,24.0,32.0,1.5,5.4,64,5,5.0,2048,1,24.0,3,18.0,4096000,240,11
21999000,7,14.0,20.0,1.8,4.8,64,5,5.0,512,1,0.0,3,15.6,2073600,144,11
38999000,7,14.0,20.0,4.9,4.9,64,5,5.0,512,1,8.0,3,16.0,4096000,165,10
26999000,7,10.0,16.0,4.9,4.9,32,5,5.0,512,1,0.0,3,15.6,2073600,144,11
25499000,7,14.0,20.0,1.8,4.8,64,5,5.0,512,1,8.0,3,15.6,2073600,144,11
48999000,7,16.0,24.0,1.5,5.1,32,5,5.0,512,1,12.0,3,16.0,4096000,165,11
80299000,14,8.0,16.0,2.3,5.1,32,4,4.0,1024,1,12.0,3,15.6,8294400,60,10
33999000,7,16.0,24.0,1.5,5.1,16,5,5.0,512,1,8.0,3,16.0,2073600,144,11
51999000,7,16.0,24.0,1.5,5.1,64,5,5.0,1024,1,8.0,3,14.0,4096000,240,11
51990000,7,16.0,22.0,0.9,4.8,32,5,5.0,1024,1,8.0,1,14.0,5184000,120,10
27799000,7,10.0,16.0,4.9,4.9,16,5,5.0,512,1,8.0,3,16.0,2304000,165,11
53499000,7,24.0,32.0,1.5,5.4,32,5,5.0,1024,1,12.0,3,16.0,4096000,240,10
34999000,7,16.0,22.0,0.9,5.0,32,5,5.0,512,1,8.0,3,16.0,4096000,165,11
56799000,7,24.0,32.0,1.5,5.4,32,5,5.0,1024,1,12.0,3,16.0,4096000,240,11
79990000,4,8.0,16.0,3.8,5.1,64,5,5.0,2048,1,12.0,3,15.0,2073600,144,10
39990000,4,8.0,16.0,3.8,5.1,64,5,5.0,1024,1,12.0,3,15.0,2073600,144,11
46999000,7,24.0,32.0,1.5,5.4,32,5,5.0,1024,1,8.0,3,16.0,4096000,240,10
22490000,7,10.0,16.0,4.7,4.7,64,5,5.0,512,1,0.0,3,15.6,2073600,144,11
45999000,7,24.0,32.0,1.5,5.4,32,5,5.0,512,1,8.0,3,16.0,4096000,240,11
35999000,7,14.0,20.0,1.8,4.8,32,5,5.0,512,1,8.0,3,16.0,2304000,165,11
52019000,14,6.0,12.0,2.6,5.0,16,4,4.0,1024,1,0.0,3,14.0,2073600,60,10
97999000,7,24.0,32.0,1.5,5.4,32,5,5.0,1024,1,24.0,3,16.0,4096000,240,11
