Price,Link,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,IGPU Cloock,Display Type,Display Size,Display Resolution,Display Frequency,Display Color,OS
96999000,https://hacom.vn/laptop-dell-mobile-precision-workstation-5680-vpro-enterprise-71024680-i9-13900h-32gb-ram-1tb-ssd-rtx2000-ada-8gb-16-inch-fhd-win-11-pro-xam,i9-13900,7,24.0,32.0,36,1.5,5.2,64 GB,DDR5,5.0,1TB,SSD,,,,IPS,16-INCH,1920X1200,60HZ,100% DCI-P3,11
49999000,https://hacom.vn/laptop-lenovo-yoga-9-pro-14irp9-83bu002xvn-i9-13905h-32gb-ram-1tb-ssd-14.5-3k-rtx4060-8gb-win11-office-h-amp-s-xanh,i9-13905H,7,14.0,20.0,24,5.4,5.4,32GB,LPDDR5,5.0,1TB,SSD,4060,8,,LED,"14.5""",3072X1920,165HZ,100% SRGB,11
23999000,https://hacom.vn/laptop-hp-probook-450-g10-9h1n8pt-i5-1335u-16gb-ram-512gb-ssd-15.6-fhd-rtx2050-4gb-win11-bac,i5-1335U,7,10.0,12.0,12,4.6,4.6,16 GB,DDR4,5.0,512GB,SSD,,,,IPS,"15.6""",1920 X 1080,,45% NTSC,11
17999000,https://hacom.vn/laptop-dell-inspiron-3530-n5i5007w1-i5-1335u-16gb-ram-512gb-ssd-15.6-inch-fhd-120hz-win11-officehs21-bac,i5-1335U,7,10.0,12.0,12,4.6,4.6,16GB,DDR4,5.0,512GB,SSD,,,,,15.6-INCH,1920 X 1080,120HZ,,11
22999000,https://hacom.vn/laptop-lenovo-yoga-6-14irh8-83e0000vvn-i7-13700h-16gb-ram-512gb-ssd-14-wuxga-oled-win11-office-h-amp-s-xam,i7-13700,7,16.0,24.0,30,1.5,5.1,16GB,LPDDR5,5.0,512GB,SSD,,,,IPS,"14""",1920X1200,60HZ,100% DCI-P3,11
23499000,https://hacom.vn/laptop-acer-swift-go-ai-gen-2-sfg14-73-53x7-nx.kslsv.001-ultra-5-125h-16gb-ram-512gb-ssd-14.0-inch-ips-2.8k-win11-bac-vo-nhom-2024,125H,0,14.0,18.0,18,0.7,4.5,32GB,LPDDR5,5.0,512GB,SSD,,,,IPS,14.0-INCH,2560x1440,120HZ,SRGB100%,11
11999000,https://hacom.vn/laptop-dell-vostro-3520-gd02r-i5-1135g7-8gb-ram-512gb-ssd-15.6-inch-fhd-120hz-dos-den-nk_bao-hanh-tai-hacom,i5-1135G7,10,4.0,8.0,8,0.9,4.2,16GB,DDR4,4.0,512GB,SSD,,,,IPS,15.6-INCH,1920 X 1080,120HZ,,0
26499000,https://hacom.vn/laptop-acer-swift-go-ai-gen-2-sfg14-73-71zx-nx.kslsv.002-ultra-7-155h-16gb-ram-512gb-ssd-14.0-inch-ips-2.8k-win11-bac-vo-nhom-2024,155H,0,16.0,22.0,24,0.9,4.8,32GB,LPDDR5,5.0,512GB,SSD,,,,IPS,14.0-INCH,2560x1440,120HZ,SRGB100%,11
27999000,https://hacom.vn/laptop-lenovo-yoga-slim-7-14imh9-83cv001uvn-ultra7-155h-32gb-ram-512gb-ssd-14-wuxga-win11-office-h-s-xam,155H,0,16.0,22.0,24,0.9,4.8,32GB,DDR5,5.0,512GB,SSD,,,,IPS,"14""",1920X1200,60HZ,100% DCI-P3,0
16799000,https://hacom.vn/laptop-hp-15-fd0235tu-9q970pa-i5-1334u-16gb-ram-512gb-ssd-15.6-fhd-win11-bac,i5-1334U,7,10.0,12.0,12,4.6,4.6,16GB,DDR4,5.0,512GB,SSD,,,,,"15.6""",1920x1080,,45%NTSC,11
26799000,https://hacom.vn/laptop-asus-zenbook-ux3405ma-pp151w,125H,0,14.0,18.0,18,0.7,4.5,16GB,LPDDR5,5.0,512GB,SSD,,,,IPS,14.0-INCH,2880 X 1800,,,11
23499000,https://hacom.vn/laptop-hp-probook-440-g10-9h8u9pta-i7-1355u-16gb-ram-512gb-ssd-14-fhd-win11-bac,i7-1355U,7,10.0,12.0,12,5.0,5.0,32GB,DDR4,5.0,512GB,SSD,,,,IPS,"14""",1920X1080,,45% NTSC,11
35999000,https://hacom.vn/laptop-asus-zenbook-ux3405ma-pp475w-ultra-9-185h-32gb-ram-1tb-ssd-14-oled-win11-tui-xanh,185H,0,16.0,22.0,24,1.8,5.1,32GB,LPDDR5,5.0,1TB,SSD,,,,IPS,14.0-INCH,2880 X 1800,,,11
20499000,https://hacom.vn/laptop-lenovo-thinkpad-e16-gen-1-21jn00fkva-i5-13500h-16gb-ram-512gb-ssd-16-wuxga-dos-den,i5-13500,7,14.0,20.0,24,1.8,4.8,48GB,DDR4,5.0,512GB,SSD,,,,IPS,"16""",1920X1200,,45% NTSC,0
21999000,https://hacom.vn/laptop-acer-aspire-5-a515-58m-951t-nx.kq8sv.001-i9-13900h-16gb-ram-512gb-ssd-15.6-inch-fhd-ips-win11-xam-2023,i9-13900,7,24.0,32.0,36,1.5,5.2,16GB,LPDDR5,5.0,512GB,SSD,,,,IPS,15.6-INCH,1920x1080,60HZ,",45% NTSC",11
15999000,https://hacom.vn/laptop-hp-15-fd0237tu-9q972pa-i5-1334u-8gb-ram-512gb-ssd-15.6-fhd-win11-bac,i5-1334U,7,10.0,12.0,12,4.6,4.6,8GB,DDR4,5.0,512GB,SSD,,,,,15.6INCH,1920X1080,,45% NTSC,11
25489000,https://hacom.vn/laptop-acer-travelmate-p4-tmp414-51g-59r6-nxvp9sv001-win-11-xanh-nhom,i5-1135G7,10,4.0,8.0,8,0.9,4.2,32GB,DDR5,4.0,512GB,SSD,,,,IPS,14.0 INCH,1920x1080,,,0
58999000,https://hacom.vn/laptop-asus-zenbook-duo-ux8406ma-pz142w-ultra9-185h-32gb-ram-1tb-ssd-14-3k-cam-ung-win11-xam-but-tui-cap,185H,0,16.0,22.0,24,1.8,5.1,32GB,LPDDR5,5.0,1TB,SSD,,,,IPS,14 INCH,2880 X 1800,120HZ,100% DCI-P3,11
17999000,https://hacom.vn/laptop-dell-vostro-3430-71021669-i5-1335u-16gb-ram-512gb-ssd-14.0fhd-win11-officehs21-xam,i5-1335U,7,10.0,12.0,12,4.6,4.6,16GB,DDR4,5.0,512GB,SSD,,,,IPS,14.0-INCH,1920 X 1080,,,11
18999000,https://hacom.vn/laptop-lenovo-thinkpad-e16-gen-1-21jn0062va-i5-1335u-8gb-ram-512gb-ssd-16-wuxga-dos-den,i5-1335U,7,10.0,12.0,12,4.6,4.6,8GB,DDR4,5.0,512GB,SSD,,,,IPS,"16""",1920X1200,,45% NTSC,0
56999000,https://hacom.vn/laptop-hp-envy-16-h0206tx-7c0t3pa-i9-12900h-16gb-ram-512gb-ssd-16-uhd-oled-rtx3060-6gb-win11-bac,i9-12900,7,16.0,24.0,30,1.8,5.0,32GB,DDR5,5.0,512GB,SSD,3060,12,,OLED,"16""",3840 X 2400,,100% DCI-P3,11
