Price,Link,CPU Name,RAM,Memory Type,Storage,Storage Type,GPU Name,GPU VRAM,PSU,Cooler,OS,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,Max DDR Support,Base Clock,Max Clock,IGPU Clock
29999000,https://hacom.vn/pc-hp-eliteone-840-g9-aio-i7-12700-8gb-ram-512gb-ssd-23.8-fhd-touch-wl-bt-k-m-win-11-76n54pa,i7-12700,8GB,DDR5,512GB,SSD,,,,Fan,11,7,12.0,20.0,25,5.0,1.6,4.8,1000
13299000,https://hacom.vn/pc-hp-m01-f2033d-i5-12400-8gb-ram-512gb-ssd-wl-bt-k-m-win-11-76u01pa,i5-12400,8GB,DDR4,512GB,SSD,,,,Fan,11,7,6.0,12.0,18,5.0,4.4,4.4,1000
19999000,https://hacom.vn/pc-asus-all-in-one-a5402wvak-wa014w-i5-1340p-8gb-ram-512gb-ssd-23.8-fhd-wl-bt-k-m-win-11-trang,i5-1340P,8GB,DDR4,512GB,HDD,540,4.0,,Fan,11,7,12.0,16.0,12,5.0,4.6,4.6,1000
9599000,https://hacom.vn/pc-hp-pavilion-tp01-4018d-8x3r4pa-i3-13100-8gb-ram-256gb-ssd-wl-bt-k-m-win-11-bac,i3-13100,8GB,DDR4,256GB,SSD,,,,Fan,11,7,4.0,8.0,12,5.0,4.5,4.5,1000
11599000,https://hacom.vn/pc-asus-s500sd-312100029w-i3-12100-4gb-ram-256gb-ssd-wl-bt-k-m-win-11-90pf0392-m00su0,i3-12100,4GB,,256GB,SSD,,,,Fan,11,7,4.0,8.0,12,5.0,4.3,4.3,1000
22999000,https://hacom.vn/pc-asus-all-in-one-a5402wvat-ba024w-i5-1340p-16gb-ram-512gb-ssd-23.8-fhd-cam-ung-wl-bt-k-m-win-11-den,i5-1340P,16GB,DDR4,512GB,HDD,540,4.0,,Fan,11,7,12.0,16.0,12,5.0,4.6,4.6,1000
9499000,https://hacom.vn/pc-asus-s501md-312100062w-i3-12100-8gb-ram-256gb-ssd-wl-bt-k-m-win-11,i3-12100,8GB,,256GB,SSD,,,,Fan,11,7,4.0,8.0,12,5.0,4.3,4.3,1000
7399000,https://hacom.vn/pc-hacom-business-mini-v1-i5-10400-h510-8gb-ram-256gb-ssd,i5-10400,8GB,DDR4,256GB,SSD,630,4.0,,Fan,0,14,6.0,12.0,12,4.0,2.9,4.3,1000
17999000,https://hacom.vn/pc-hp-280-pro-sff-g9-9h9c7pt-i7-12700-8gb-ram-512gb-ssd-wl-bt-k-m-win11,i7-12700,8GB,DDR4,512GB,SSD,,,180 W,Fan,11,7,12.0,20.0,25,5.0,1.6,4.8,1000
16999000,https://hacom.vn/pc-hp-pro-280-g9-tower-i7-12700-8gb-ram-256gb-ssd-wl-bt-k-m-win11-72g88pa,i7-12700,8GB,DDR4,256GB,SSD,,,,Fan,11,7,12.0,20.0,25,5.0,1.6,4.8,1000
